comm_id,datetime,content,source,target,x,y,topic,topic_name,content_short
Event_Communication_12,2040-10-01 08:34:00,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents - there's a potential loophole in Nemo Reef protection zones we can discuss. I'll bring the relevant paperwork.",The Middleman,Boss,6.1731124,4.201182,5,5_funding_council_councils_middleman,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents..."
Event_Communication_13,2040-10-01 08:50:00,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is looking for premium diving spots. Heard about Nemo Reef, but understand it's restricted. Any comparable alternatives you could recommend?",Serenity,Mako,5.7870865,8.214709,12,12_reef_coral_coastal_cove,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is l..."
Event_Communication_15,2040-10-01 08:52:00,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles south. Less restricted, similar coral formations, and better visibility. We just documented excellent conditions there yesterday during our coastal survey.",Mako,Serenity,5.7990413,8.226,12,12_reef_coral_coastal_cove,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles sout..."
Event_Communication_16,2040-10-01 08:53:00,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are there any special permits available for private vessels to access certain sections? We're willing to follow strict conservation guidelines.",Serenity,Reef Guardian,6.294093,7.9963584,12,12_reef_coral_coastal_cove,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are th..."
Event_Communication_17,2040-10-01 08:59:00,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnaissance. Please remember to return before sunset and maintain distance from protected marine areas. Safe journey.,Himark Harbor,Mako,3.3711946,8.449133,2,2_harbor_himark_reef_sailors,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnai...
Event_Communication_20,2040-10-01 09:02:00,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility but too exposed for filming. Dolphin Bay offers privacy but those currents will be challenging for equipment setup. Heading back to Himark as scheduled.",Davis,Davis,4.564544,8.192045,-1,-1_reef_ecovigil_deploy_lookout,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility bu..."
Event_Communication_21,2040-10-01 09:49:00,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef opportunity. He mentioned a potential loophole in protection zones. Let's discuss this during our 3PM meeting along with funding allocations.",Boss,Mrs. Money,6.0796714,4.292874,5,5_funding_council_councils_middleman,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef oppor..."
Event_Communication_22,2040-10-01 09:52:00,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly interested in your thoughts on that Nemo Reef loophole before my meeting with Boss tomorrow. Available to talk this evening?",Mrs. Money,The Middleman,6.043774,4.168135,5,5_funding_council_councils_middleman,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly int..."
Event_Communication_24,2040-10-01 09:55:00,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected without special access permits. However, we can recommend several equally beautiful non-protected areas nearby. We're observing increased tourism pressure lately, which is why enforcement remains strict.",Reef Guardian,Serenity,6.17589,8.011654,12,12_reef_coral_coastal_cove,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected ..."
Event_Communication_26,2040-10-01 09:58:00,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you confirm availability for a 120-foot vessel requiring premium berth services? My owner would appreciate any local recommendations for exclusive dining options as well.",Serenity,Himark Harbor,3.1564875,9.332193,2,2_harbor_himark_reef_sailors,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you conf..."
Event_Communication_28,2040-10-01 09:59:00,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' for exclusive dining - waterfront views and renowned seafood. Harbor staff will assist with your berthing upon arrival.,Himark Harbor,Serenity,3.1240098,9.363306,2,2_harbor_himark_reef_sailors,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' f...
Event_Communication_30,2040-10-01 10:43:00,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's protected inner boundary. Please maintain appropriate distance from restricted zones as per maritime conservation regulations. Acknowledge receipt.",Paackland Harbor,Remora,6.5712914,9.165504,0,0_reef_reefs_harbor_guardians,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's prote..."
Event_Communication_32,2040-10-01 10:46:00,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Nemo Reef's protected areas. Currently surveying locations with Rodriguez for Sailor Shifts Team's upcoming video shoot. Will respect all conservation regulations.",Remora,Paackland Harbor,6.550556,9.116307,0,0_reef_reefs_harbor_guardians,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Ne..."
Event_Communication_35,2040-10-01 10:48:00,"This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near protected areas, specifically Nemo Reef. Have issued standard reminders about conservation regulations. Recommend additional signage or patrol consideration for upcoming tourism season.",Paackland Harbor,Oceanus City Council,6.598193,9.134063,0,0_reef_reefs_harbor_guardians,This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near p...
Event_Communication_37,2040-10-01 10:51:00,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tourism vessels near Nemo Reef. Please coordinate with harbor masters to enhance conservation patrols and consider temporary additional signage for protected areas.",Oceanus City Council,Liam Thorne,6.608655,9.061116,0,0_reef_reefs_harbor_guardians,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tou..."
Event_Communication_39,2040-10-01 10:53:00,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before your meeting with Boss. Council just flagged increased vessel activity there - perfect timing for our plans. 7PM at the cafe?",The Middleman,Mrs. Money,6.1976986,4.263212,5,5_funding_council_councils_middleman,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before ..."
Event_Communication_40,2040-10-01 10:55:00,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projections on the Nemo Reef opportunity. I've also identified potential funding sources that won't raise flags with regulators.",The Middleman,Mrs. Money,6.0807486,4.2498403,5,5_funding_council_councils_middleman,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projecti..."
Event_Communication_43,2040-10-01 10:56:00,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor masters as requested. Will implement additional signage by tomorrow and increase patrols this weekend. Sending full action plan by end of day.",Liam Thorne,Oceanus City Council,6.4513917,8.906269,0,0_reef_reefs_harbor_guardians,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor ma..."
Event_Communication_45,2040-10-01 10:58:00,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Liam Thorne is coordinating additional signage installation tomorrow and increased patrols this weekend. Full action plan forthcoming. Thank you for your vigilance.",Oceanus City Council,Paackland Harbor,6.4811897,9.024556,0,0_reef_reefs_harbor_guardians,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Li..."
Event_Communication_48,2040-10-01 11:01:00,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's protected zones. Please increase monitoring patrols in that area over the next 48 hours. Oceanus Council is adding signage tomorrow. Confirm when possible.",Paackland Harbor,Reef Guardian,6.533242,9.10494,0,0_reef_reefs_harbor_guardians,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's prote..."
Event_Communication_50,2040-10-01 11:02:00,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that costs double what it did last year. These new catch quotas are killing us local fishermen. Conservation sounds nice until families can't put food on the table.",Marlin,Himark Harbor,3.7766955,9.296996,-1,-1_reef_ecovigil_deploy_lookout,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that cost..."
Event_Communication_51,2040-10-01 11:03:00,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedback and will relay it to the Oceanus City Council at our next meeting. Is there anything else you need from harbor services today?,Himark Harbor,Marlin,3.2379665,9.349059,2,2_harbor_himark_reef_sailors,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedba...
Event_Communication_53,2040-10-01 11:06:00,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel costs doubled while catch limits halved. Five generations of my family fished these waters. Now we can barely break even. Please reconsider before there are no local fishermen left.",Marlin,Oceanus City Council,6.8983836,8.206848,-1,-1_reef_ecovigil_deploy_lookout,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel cost..."
Event_Communication_54,2040-10-01 11:09:00,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's schedule a community forum next week to discuss sustainable solutions that balance conservation needs with fishermen's livelihoods. Please confirm your availability.",Oceanus City Council,Marlin,7.006413,8.103269,-1,-1_reef_ecovigil_deploy_lookout,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's sch..."
Event_Communication_59,2040-10-01 11:10:00,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and challenging currents at Dolphin Bay. Planning to rendezvous at Himark's south dock at 16:00 as scheduled. Over.,Mako,Remora,4.3087306,8.3278265,9,9_osprey_bay_harbor_cove,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and ...
Event_Communication_62,2040-10-01 11:40:00,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected areas, especially around Nemo Reef. Please maintain extra vigilance over the next two weeks and report any regulation violations immediately.",Green Guardians,Reef Guardian,8.881357,8.595051,0,0_reef_reefs_harbor_guardians,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected..."
Event_Communication_64,2040-10-01 12:26:00,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outline for your music video shoot. Please confirm the Nemo Reef location so I can secure proper permits and arrange necessary equipment rentals.",Samantha Blake,Sailor Shifts Team,5.830432,7.4755936,-1,-1_reef_ecovigil_deploy_lookout,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outli..."
Event_Communication_66,2040-10-01 12:27:00,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits for the northwest section specifically. Our reconnaissance showed optimal lighting conditions there. Please prioritize environmental compliance documentation.",Glitters Team,Samantha Blake,6.348956,7.984523,12,12_reef_coral_coastal_cove,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits..."
Event_Communication_67,2040-10-01 12:29:00,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music video shoot at Nemo Reef's northwest section in two weeks. Could you please advise on specific environmental compliance requirements for this protected area?",Samantha Blake,Oceanus City Council,6.804893,7.9289045,-1,-1_reef_ecovigil_deploy_lookout,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music ..."
Event_Communication_69,2040-10-01 12:34:00,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observed increased tourism vessel activity near Nemo Reef. Recommend discussing inconsistent enforcement at upcoming community meeting. Sending detailed water quality report separately.",Sentinel,Green Guardians,8.415871,8.594568,-1,-1_reef_ecovigil_deploy_lookout,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observ..."
Event_Communication_72,2040-10-01 12:37:00,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, particularly Nemo Reef. Please coordinate with Sentinel on the western boundary and document any regulation violations. Extra patrols requested for the next two weeks.",Green Guardians,Horizon,9.245628,8.708851,0,0_reef_reefs_harbor_guardians,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, part..."
Event_Communication_76,2040-10-01 12:39:00,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Nemo Reef. I'll monitor the eastern boundary while you take western. Let's document any violations and compare notes at 1800 hours.",Horizon,Sentinel,9.125259,8.833889,-1,-1_reef_ecovigil_deploy_lookout,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Ne..."
Event_Communication_79,2040-10-01 12:40:00,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels approaching Nemo Reef's protected zones in the last hour. Will transmit coordinates and photographic evidence. See you at 1800 for debrief.",Sentinel,Horizon,8.512569,9.250785,0,0_reef_reefs_harbor_guardians,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels appr..."
Event_Communication_85,2040-10-01 12:44:00,"Seawatch, Green Guardians HQ here. We need additional monitoring around Nemo Reef's southern boundary. Horizon and Sentinel have reported multiple tourism vessels crossing protected zones. Please coordinate patrol schedule with them for the next two weeks.",Green Guardians,Seawatch,9.280085,8.517347,0,0_reef_reefs_harbor_guardians,"Seawatch, Green Guardians HQ here. We need additional monitoring around Nemo Reef's southern boundar..."
Event_Communication_87,2040-10-02 08:04:00,The Lookout here! Just spotted some rare sea turtles near Nemo Reef this afternoon. Magnificent creatures! Don't forget about our birdwatching trip tomorrow at 7 AM. The weather looks perfect for spotting those migratory species!,The Lookout,Sam,7.849991,4.683795,6,6_birdwatching_lookout_reef_binoculars,The Lookout here! Just spotted some rare sea turtles near Nemo Reef this afternoon. Magnificent crea...
Event_Communication_89,2040-10-02 08:07:00,"Mrs. Money, it's The Intern. I wanted to follow up on my earlier message about any tasks you need help with today. Also, The Lookout mentioned spotting sea turtles near Nemo Reef. Should we be aware of any conservation concerns there?",The Intern,Mrs. Money,7.4091935,4.889738,3,3_reef_harbor_underwater_plans,"Mrs. Money, it's The Intern. I wanted to follow up on my earlier message about any tasks you need he..."
Event_Communication_90,2040-10-02 08:09:00,"Intern, it's Mrs. Money. Yes, we're aware of conservation concerns at Nemo Reef. Those sea turtle sightings are precisely why we need careful financial planning. I'll need you to compile some public conservation reports for our records.",Mrs. Money,The Intern,7.0308456,4.7681465,-1,-1_reef_ecovigil_deploy_lookout,"Intern, it's Mrs. Money. Yes, we're aware of conservation concerns at Nemo Reef. Those sea turtle si..."
Event_Communication_91,2040-10-02 08:11:00,"Intern, Mrs. Money here. Focus specifically on turtle migration patterns and protected breeding grounds in the Nemo Reef conservation reports. Also gather any information about current protection zone boundaries and recent enforcement actions. This is critical for our meeting tomorrow.",Mrs. Money,The Intern,7.2298036,4.8377547,-1,-1_reef_ecovigil_deploy_lookout,"Intern, Mrs. Money here. Focus specifically on turtle migration patterns and protected breeding grou..."
Event_Communication_92,2040-10-02 08:13:00,"Hey The Lookout, The Intern here! Just finished gathering those conservation reports for Mrs. Money. Looking forward to our birdwatching tomorrow at 7 AM. Quick question - how close were those sea turtles to shore when you spotted them?",The Intern,The Lookout,7.8407164,4.659451,-1,-1_reef_ecovigil_deploy_lookout,"Hey The Lookout, The Intern here! Just finished gathering those conservation reports for Mrs. Money...."
Event_Communication_94,2040-10-02 08:15:00,"The Lookout here! Those sea turtles were pretty close to shore, maybe 50 yards out from Nemo Reef. Unusual to see them so close! Don't forget your sunscreen tomorrow - forecast says it'll be bright. See you at Sunrise Point!",The Lookout,Sam,7.878017,4.688415,6,6_birdwatching_lookout_reef_binoculars,"The Lookout here! Those sea turtles were pretty close to shore, maybe 50 yards out from Nemo Reef. U..."
Event_Communication_95,2040-10-02 08:50:00,Haacklee Harbor responding to Osprey inquiry. We have three vessels available for charter this week. Noticed you were redirected from Mako's crew? Interesting how many vessels are asking about eastern waters lately. Let me know your requirements.,Haacklee Harbor,Osprey,4.063705,8.322668,9,9_osprey_bay_harbor_cove,Haacklee Harbor responding to Osprey inquiry. We have three vessels available for charter this week....
Event_Communication_97,2040-10-02 08:52:00,"Mako, this is Osprey. Wondering if you're available for charter tomorrow for a group of tourists wanting to explore the bay area? I was redirected from your crew to Haacklee Harbor, but would prefer working with you.",Osprey,Mako,4.194226,8.264023,9,9_osprey_bay_harbor_cove,"Mako, this is Osprey. Wondering if you're available for charter tomorrow for a group of tourists wan..."
Event_Communication_99,2040-10-02 08:54:00,"Himark Harbor, this is Mako. We'll remain docked at slip #14 today. Davis and the Sailors team departed at 0600 for city offices to file special event paperwork. Vessel is undergoing routine maintenance until their return.",Mako,Himark Harbor,2.8639557,8.741725,2,2_harbor_himark_reef_sailors,"Himark Harbor, this is Mako. We'll remain docked at slip #14 today. Davis and the Sailors team depar..."
Event_Communication_100,2040-10-02 08:56:00,Himark Harbor to Oceanus City Council. Daily report: Minimal vessel activity today. Mako and Remora remain docked. Sailors Team representatives traveled to City Hall for event permission paperwork. Marlin has expressed concerns about catch quotas affecting local fishermen.,Himark Harbor,Oceanus City Council,3.1194506,9.194311,2,2_harbor_himark_reef_sailors,Himark Harbor to Oceanus City Council. Daily report: Minimal vessel activity today. Mako and Remora ...
Event_Communication_102,2040-10-02 08:59:00,"Samantha, this is Oceanus City Council. Regarding your Nemo Reef permit application - filming in protected areas requires special environmental assessment. Please attend our office hours tomorrow to discuss alternatives, as northwest Nemo Reef has recently received heightened protection status.",Oceanus City Council,Samantha Blake,6.8193145,7.9382324,0,0_reef_reefs_harbor_guardians,"Samantha, this is Oceanus City Council. Regarding your Nemo Reef permit application - filming in pro..."
Event_Communication_103,2040-10-02 09:02:00,"Hi Sailor Shifts Team, Samantha Blake here. The City Council has concerns about Nemo Reef's northwest section due to heightened protection status. I'm meeting with them tomorrow to discuss alternatives. Will update you after the meeting.",Samantha Blake,Sailor Shifts Team,6.386131,7.8548217,12,12_reef_coral_coastal_cove,"Hi Sailor Shifts Team, Samantha Blake here. The City Council has concerns about Nemo Reef's northwes..."
Event_Communication_106,2040-10-02 09:59:00,"EcoVigil, this is Green Guardians HQ. We're documenting multiple protected zone violations at Nemo Reef. Please coordinate with Horizon to establish a monitoring station at the eastern boundary for the next week. Send daily reports directly to headquarters.",Green Guardians,EcoVigil,9.256279,8.628742,0,0_reef_reefs_harbor_guardians,"EcoVigil, this is Green Guardians HQ. We're documenting multiple protected zone violations at Nemo R..."
Event_Communication_109,2040-10-02 10:02:00,"Horizon, this is EcoVigil. Green Guardians has tasked us to establish a monitoring station with you at Nemo Reef's eastern boundary. Can we coordinate equipment and schedules for the week-long operation? Standing by for your response.",EcoVigil,Horizon,9.328455,8.250622,0,0_reef_reefs_harbor_guardians,"Horizon, this is EcoVigil. Green Guardians has tasked us to establish a monitoring station with you ..."
Event_Communication_110,2040-10-02 10:04:00,"EcoVigil, Horizon here. Affirmative on joint monitoring station. I can provide sonar equipment and water quality sensors. Suggest setup tomorrow at 0800 at coordinates 27.45N, 82.32W. Can accommodate two of your technicians onboard. What equipment are you bringing?",Horizon,EcoVigil,9.487438,7.8899307,0,0_reef_reefs_harbor_guardians,"EcoVigil, Horizon here. Affirmative on joint monitoring station. I can provide sonar equipment and w..."
Event_Communication_111,2040-10-02 10:06:00,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at the coordinates. Bringing underwater cameras, GPS tracking buoys, and two marine biologists. Do you have recent activity logs from the area we should review before deployment?",EcoVigil,Horizon,9.559205,7.7883534,0,0_reef_reefs_harbor_guardians,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at the coordinates. Bringing underwater came..."
Event_Communication_112,2040-10-02 10:09:00,"EcoVigil, Horizon here. Yes, I have activity logs from the past 72 hours showing increased vessel traffic. Will prepare data visualization of hotspots. Also bringing underwater drones for reef inspection. How long will your team need for setup?",Horizon,EcoVigil,9.573571,7.8896475,0,0_reef_reefs_harbor_guardians,"EcoVigil, Horizon here. Yes, I have activity logs from the past 72 hours showing increased vessel tr..."
Event_Communication_113,2040-10-02 10:21:00,"Hello Sailor Shifts Team, Samantha Blake here. I've been researching alternative locations with similar aesthetics to Nemo Reef. Could you provide your secondary location preferences before my meeting with the City Council tomorrow?",Samantha Blake,Sailor Shifts Team,6.0185323,7.9487114,12,12_reef_coral_coastal_cove,"Hello Sailor Shifts Team, Samantha Blake here. I've been researching alternative locations with simi..."
Event_Communication_115,2040-10-02 11:01:00,"Mako, Davis here. Thanks for the site assessment. The Coral Point exposure is concerning, and those Dolphin Bay currents could damage our equipment. Let's discuss alternative locations when you return to Himark. Rodriguez will help with logistics.",Davis,Mako,4.2795987,8.435105,9,9_osprey_bay_harbor_cove,"Mako, Davis here. Thanks for the site assessment. The Coral Point exposure is concerning, and those ..."
Event_Communication_117,2040-10-02 11:04:00,Mako to Sailor Shifts Team. Vessel remains docked at Himark Harbor slip #14 as scheduled. Davis and your team departed at 0600 for city paperwork filing. Routine maintenance underway until your return. Any change to afternoon schedule?,Mako,Sailor Shifts Team,2.8157473,8.640032,2,2_harbor_himark_reef_sailors,Mako to Sailor Shifts Team. Vessel remains docked at Himark Harbor slip #14 as scheduled. Davis and ...
Event_Communication_118,2040-10-02 11:45:00,Himark Harbor to Oceanus City Council. Update: Sailors Team members have gone to City Hall for event permits. Minimal harbor activity today with Mako and Remora remaining docked. Serenity has requested premium berthing for tonight. Anything you need from us?,Himark Harbor,Oceanus City Council,3.2007322,9.355018,2,2_harbor_himark_reef_sailors,Himark Harbor to Oceanus City Council. Update: Sailors Team members have gone to City Hall for event...
Event_Communication_119,2040-10-02 11:48:00,"Himark Harbor, this is Oceanus City Council. Thank you for your update. Please inform Sailors Team that their permit applications are being processed. We've approved Serenity's premium berthing request for tonight. No additional actions required at this time.",Oceanus City Council,Himark Harbor,3.1828728,9.438997,2,2_harbor_himark_reef_sailors,"Himark Harbor, this is Oceanus City Council. Thank you for your update. Please inform Sailors Team t..."
Event_Communication_120,2040-10-02 11:50:00,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM tonight to discuss the Nemo Reef loophole. I've prepared financial projections and identified discreet funding sources. The Intern is compiling conservation reports focusing on protection boundaries.",Mrs. Money,Boss,5.9557,4.381636,5,5_funding_council_councils_middleman,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM tonight to discuss the Nemo Reef loophole. I..."
Event_Communication_121,2040-10-02 12:07:00,"Mako, this is Marlin. Have you seen these new commercial licensing costs? Between that and mandatory equipment upgrades, I'm barely staying afloat. My family's fished these waters for generations. How are you managing?",Marlin,Mako,3.9754593,8.857561,-1,-1_reef_ecovigil_deploy_lookout,"Mako, this is Marlin. Have you seen these new commercial licensing costs? Between that and mandatory..."
Event_Communication_123,2040-10-02 12:09:00,"Marlin, Mako here. The new licensing costs are brutal. I'm managing by diversifying - tourism charters keep us afloat. Currently docked at Himark for maintenance while Davis and the Sailors team handle paperwork downtown. Maybe worth exploring similar arrangements?",Mako,Marlin,3.100625,8.8745,-1,-1_reef_ecovigil_deploy_lookout,"Marlin, Mako here. The new licensing costs are brutal. I'm managing by diversifying - tourism charte..."
Event_Communication_124,2040-10-02 12:10:00,"Remora, this is Marlin. These new commercial licensing fees are crippling us small operators. I hear Mako's doing tourist charters to stay afloat. Have you found any workarounds for the mandatory equipment upgrades? My sonar replacement alone is three months' profit.",Marlin,Remora,3.9927878,8.834375,-1,-1_reef_ecovigil_deploy_lookout,"Remora, this is Marlin. These new commercial licensing fees are crippling us small operators. I hear..."
Event_Communication_126,2040-10-02 12:13:00,"Mr. Jensen, this is Miranda. I've been observing unusual activity at Nemo Reef. Multiple vessels circling the protected area and someone was filing permits at city hall. Should I continue surveillance or return with my findings?",Miranda Jordan,Clepper Jensen,7.6316504,6.3552327,4,4_harbor_environmental_permits_vessels,"Mr. Jensen, this is Miranda. I've been observing unusual activity at Nemo Reef. Multiple vessels cir..."
Event_Communication_128,2040-10-02 12:14:00,"Miranda, this is Clepper. Stay on surveillance at Nemo Reef. Document all vessel activities and get photos if possible. Also, find out who's filing those permits and what they're requesting specifically. This could be our next big story.",Clepper Jensen,Miranda Jordan,7.4743695,6.4195957,4,4_harbor_environmental_permits_vessels,"Miranda, this is Clepper. Stay on surveillance at Nemo Reef. Document all vessel activities and get ..."
